x	y	z	c
-0.587785252292473	0	0.809016994374947	0.809016994374947
-0.481753674101715	0	0.876306680043864	0.876306680043864
-0.368124552684678	0	0.929776485888251	0.929776485888251
-0.248689887164855	0	0.968583161128631	0.968583161128631
-0.125333233564304	0	0.992114701314478	0.992114701314478
-0	0	1	1
-0.569318897730234	-0.146176248069781	0.809016994374947	0.809016994374947
-0.466618496546772	-0.11980726685361	0.876306680043864	0.876306680043864
-0.356559242928389	-0.0915488534697653	0.929776485888251	0.929776485888251
-0.240876837050858	-0.0618466599780683	0.968583161128631	0.968583161128631
-0.121395659560187	-0.0311691077131132	0.992114701314478	0.992114701314478
-0	-0	1	1
-0.515080143015162	-0.283167704874703	0.809016994374947	0.809016994374947
-0.422163962751007	-0.232086602510502	0.876306680043864	0.876306680043864
-0.322590004605743	-0.177345355782894	0.929776485888251	0.929776485888251
-0.217928609381917	-0.11980726685361	0.968583161128631	0.968583161128631
-0.109830349803898	-0.060379745756652	0.992114701314478	0.992114701314478
-0	-0	1	1
-0.428477008582192	-0.402366693364377	0.809016994374947	0.809016994374947
-0.351183314565149	-0.329783083376842	0.876306680043864	0.876306680043864
-0.268351249890671	-0.25199859716159	0.929776485888251	0.929776485888251
-0.18128712570015	-0.170239942532434	0.968583161128631	0.968583161128631
-0.091363995241658	-0.0857965023131289	0.992114701314478	0.992114701314478
-0	-0	1	1
-0.314951087871797	-0.496283502708782	0.809016994374947	0.809016994374947
-0.258136527163278	-0.406758080257275	0.876306680043864	0.876306680043864
-0.197250999218108	-0.310817839894611	0.929776485888251	0.929776485888251
-0.133254705183233	-0.209975816523232	0.968583161128631	0.968583161128631
-0.0671569048451152	-0.105822349091809	0.992114701314478	0.992114701314478
-0	-0	1	1
-0.18163563200134	-0.559016994374947	0.809016994374947	0.809016994374947
-0.1488700724	-0.458174971003568	0.876306680043864	0.876306680043864
-0.113756742826241	-0.350107254639002	0.929776485888251	0.929776485888251
-0.0768494014631283	-0.236518137724842	0.968583161128631	0.968583161128631
-0.0387300991313346	-0.119198988489674	0.992114701314478	0.992114701314478
-0	-0	1	1
-0.0369073413631129	-0.586625392363843	0.809016994374947	0.809016994374947
-0.0302495634820022	-0.480803043272034	0.876306680043864	0.876306680043864
-0.023114731914567	-0.36739814297001	0.929776485888251	0.929776485888251
-0.0156153672167676	-0.248199154480336	0.968583161128631	0.968583161128631
-0.00786973884979144	-0.125085917057519	0.992114701314478	0.992114701314478
-0	-0	1	1
0.110139973268665	-0.577373959493242	0.809016994374947	0.809016994374947
0.0902716367596822	-0.473220492061818	0.876306680043864	0.876306680043864
0.0689796626133369	-0.361604054782361	0.929776485888251	0.929776485888251
0.0465998379811261	-0.244284905547193	0.968583161128631	0.968583161128631
0.023485106066559	-0.123113237422817	0.992114701314478	0.992114701314478
0	-0	1	1
0.250266788313487	-0.531843997314794	0.809016994374947	0.809016994374947
0.205120738067899	-0.43590375695213	0.876306680043864	0.876306680043864
0.156739811249791	-0.333089053946049	0.929776485888251	0.929776485888251
0.10588700397645	-0.225021337581483	0.968583161128631	0.968583161128631
0.0533642953965693	-0.113404900302025	0.992114701314478	0.992114701314478
0	-0	1	1
0.374668420631708	-0.452896320799659	0.809016994374947	0.809016994374947
0.307081349022005	-0.371197585651263	0.876306680043864	0.876306680043864
0.234651421096719	-0.283644842834458	0.929776485888251	0.929776485888251
0.158520900086773	-0.191618851404938	0.968583161128631	0.968583161128631
0.0798904097866632	-0.0965709162212075	0.992114701314478	0.992114701314478
0	-0	1	1
0.475528258147577	-0.345491502812526	0.809016994374947	0.809016994374947
0.389746909450858	-0.283167704874703	0.876306680043864	0.876306680043864
0.29781901916858	-0.216378183074817	0.929776485888251	0.929776485888251
0.201194345045556	-0.146176248069781	0.968583161128631	0.968583161128631
0.101396715913487	-0.073669026311226	0.992114701314478	0.992114701314478
0	-0	1	1
0.546508906333435	-0.216378183074817	0.809016994374947	0.809016994374947
0.447923238170047	-0.177345355782894	0.876306680043864	0.876306680043864
0.342273552964344	-0.135515686289294	0.929776485888251	0.929776485888251
0.231226009364085	-0.0915488534697653	0.968583161128631	0.968583161128631
0.11653189346843	-0.0461382405423838	0.992114701314478	0.992114701314478
0	-0	1	1
0.583150390015202	-0.073669026311226	0.809016994374947	0.809016994374947
0.477954902488575	-0.060379745756652	0.876306680043864	0.876306680043864
0.365221780633285	-0.0461382405423838	0.929776485888251	0.929776485888251
0.246728893124491	-0.0311691077131132	0.968583161128631	0.968583161128631
0.124344943582427	-0.0157084194356844	0.992114701314478	0.992114701314478
0	-0	1	1
0.583150390015202	0.073669026311226	0.809016994374947	0.809016994374947
0.477954902488575	0.060379745756652	0.876306680043864	0.876306680043864
0.365221780633285	0.0461382405423838	0.929776485888251	0.929776485888251
0.246728893124491	0.0311691077131132	0.968583161128631	0.968583161128631
0.124344943582427	0.0157084194356844	0.992114701314478	0.992114701314478
0	0	1	1
0.546508906333435	0.216378183074817	0.809016994374947	0.809016994374947
0.447923238170047	0.177345355782894	0.876306680043864	0.876306680043864
0.342273552964344	0.135515686289294	0.929776485888251	0.929776485888251
0.231226009364085	0.0915488534697653	0.968583161128631	0.968583161128631
0.11653189346843	0.0461382405423838	0.992114701314478	0.992114701314478
0	0	1	1
0.475528258147577	0.345491502812526	0.809016994374947	0.809016994374947
0.389746909450858	0.283167704874703	0.876306680043864	0.876306680043864
0.29781901916858	0.216378183074817	0.929776485888251	0.929776485888251
0.201194345045556	0.146176248069781	0.968583161128631	0.968583161128631
0.101396715913487	0.073669026311226	0.992114701314478	0.992114701314478
0	0	1	1
0.374668420631708	0.452896320799659	0.809016994374947	0.809016994374947
0.307081349022005	0.371197585651263	0.876306680043864	0.876306680043864
0.234651421096719	0.283644842834458	0.929776485888251	0.929776485888251
0.158520900086773	0.191618851404938	0.968583161128631	0.968583161128631
0.0798904097866632	0.0965709162212075	0.992114701314478	0.992114701314478
0	0	1	1
0.250266788313487	0.531843997314794	0.809016994374947	0.809016994374947
0.205120738067899	0.43590375695213	0.876306680043864	0.876306680043864
0.156739811249791	0.333089053946049	0.929776485888251	0.929776485888251
0.10588700397645	0.225021337581483	0.968583161128631	0.968583161128631
0.0533642953965693	0.113404900302025	0.992114701314478	0.992114701314478
0	0	1	1
0.110139973268665	0.577373959493242	0.809016994374947	0.809016994374947
0.0902716367596822	0.473220492061818	0.876306680043864	0.876306680043864
0.0689796626133369	0.361604054782361	0.929776485888251	0.929776485888251
0.0465998379811261	0.244284905547193	0.968583161128631	0.968583161128631
0.023485106066559	0.123113237422817	0.992114701314478	0.992114701314478
0	0	1	1
-0.0369073413631129	0.586625392363843	0.809016994374947	0.809016994374947
-0.0302495634820022	0.480803043272034	0.876306680043864	0.876306680043864
-0.023114731914567	0.36739814297001	0.929776485888251	0.929776485888251
-0.0156153672167676	0.248199154480336	0.968583161128631	0.968583161128631
-0.00786973884979144	0.125085917057519	0.992114701314478	0.992114701314478
-0	0	1	1
-0.18163563200134	0.559016994374947	0.809016994374947	0.809016994374947
-0.1488700724	0.458174971003568	0.876306680043864	0.876306680043864
-0.113756742826241	0.350107254639002	0.929776485888251	0.929776485888251
-0.0768494014631283	0.236518137724842	0.968583161128631	0.968583161128631
-0.0387300991313346	0.119198988489674	0.992114701314478	0.992114701314478
-0	0	1	1
-0.314951087871797	0.496283502708782	0.809016994374947	0.809016994374947
-0.258136527163278	0.406758080257275	0.876306680043864	0.876306680043864
-0.197250999218108	0.310817839894611	0.929776485888251	0.929776485888251
-0.133254705183233	0.209975816523232	0.968583161128631	0.968583161128631
-0.0671569048451152	0.105822349091809	0.992114701314478	0.992114701314478
-0	0	1	1
-0.428477008582192	0.402366693364377	0.809016994374947	0.809016994374947
-0.351183314565149	0.329783083376842	0.876306680043864	0.876306680043864
-0.268351249890671	0.25199859716159	0.929776485888251	0.929776485888251
-0.18128712570015	0.170239942532434	0.968583161128631	0.968583161128631
-0.091363995241658	0.0857965023131289	0.992114701314478	0.992114701314478
-0	0	1	1
-0.515080143015162	0.283167704874703	0.809016994374947	0.809016994374947
-0.422163962751007	0.232086602510502	0.876306680043864	0.876306680043864
-0.322590004605743	0.177345355782894	0.929776485888251	0.929776485888251
-0.217928609381917	0.11980726685361	0.968583161128631	0.968583161128631
-0.109830349803898	0.060379745756652	0.992114701314478	0.992114701314478
-0	0	1	1
-0.569318897730234	0.146176248069781	0.809016994374947	0.809016994374947
-0.466618496546772	0.11980726685361	0.876306680043864	0.876306680043864
-0.356559242928389	0.0915488534697653	0.929776485888251	0.929776485888251
-0.240876837050858	0.0618466599780683	0.968583161128631	0.968583161128631
-0.121395659560187	0.0311691077131132	0.992114701314478	0.992114701314478
-0	0	1	1
-0.587785252292473	0	0.809016994374947	0.809016994374947
-0.481753674101715	0	0.876306680043864	0.876306680043864
-0.368124552684678	0	0.929776485888251	0.929776485888251
-0.248689887164855	0	0.968583161128631	0.968583161128631
-0.125333233564304	0	0.992114701314478	0.992114701314478
-0	0	1	1
